bssid	ssid	firstseen	lastseen	channel	security	minrssi	maxrssi	latitude	longitude	altitude
ec:1a:59:c4:96:1b	belkin.618.guests		2014-05-01 18:43:44	1	OPN	-83	-83	37°57'33.3"N	91°46'44.4"W	355.0
da:fe:c2:f6:e8:49	hpsetup		2014-05-01 18:43:02	6	OPN	-88	-88	37°57'29.6"N	91°46'57.1"W	350.0
d8:c7:c8:f1:8e:84	&lt;Hidden Network&gt;		2014-05-01 18:33:27	1	Yes	-68	-68	37°57'31.2"N	91°46'56.7"W	371.0
d8:c7:c8:f1:8e:80	MST-PSK-N		2014-05-01 18:33:27	1	Yes	-69	-69	37°57'31.2"N	91°46'56.7"W	371.0
00:24:6c:30:e7:41	MST-PSK-N		2014-05-01 18:33:56	6	Yes	-89	-89	37°57'25.3"N	91°46'58.4"W	360.0
6c:f3:7f:1e:2a:43	MST-WPA-N		2014-05-01 18:34:31	6	Yes	-90	-90	37°57'18.2"N	91°46'44.7"W	342.0
6c:f3:7f:1e:25:b1	MST-WPA-N		2014-05-01 18:42:40	11	Yes	-99	-99	37°57'22.7"N	91°46'56.0"W	350.0
6c:f3:7f:1e:29:24	MST-COER-N		2014-05-01 18:41:19	1	Yes	-97	-97	37°57'15.0"N	91°46'38.8"W	344.0
20:aa:4b:0d:8f:f9	DQ-guest		2014-05-01 18:38:37	6	OPN	-65	-65	37°57'15.1"N	91°46'39.2"W	343.0
74:44:01:ad:d8:27	westell7275		2014-05-01 18:41:26	6	Yes	-82	-82	37°57'15.1"N	91°46'41.0"W	341.0
d8:c7:c8:f1:8e:f1	MST-PUBLIC-N		2014-05-01 18:43:25	11	OPN	-83	-83	37°57'31.5"N	91°46'49.9"W	352.0
d8:c7:c8:98:6f:a0	MST-WPA-N		2014-05-01 18:43:55	11	Yes	-69	-69	37°57'35.1"N	91°46'44.5"W	359.0
ac:86:74:14:7c:1a	OAKNET_WIFI		2014-05-01 18:33:36	9	OPN	-81	-81	37°57'31.2"N	91°46'56.5"W	368.0
4c:60:de:ce:62:19	Boss		2014-05-01 18:43:23	2	Yes	-76	-76	37°57'31.5"N	91°46'50.8"W	352.0
6c:f3:7f:1e:28:b5	&lt;Hidden Network&gt;		2014-05-01 18:40:21	11	Yes	-93	-93	37°57'15.1"N	91°46'39.1"W	345.0
00:24:6c:30:d1:60	MST-PSK-N		2014-05-01 18:43:33	6	Yes	-74	-74	37°57'31.5"N	91°46'46.2"W	355.0
6c:f3:7f:1e:37:80	MST-WPA-N		2014-05-01 18:33:47	1	Yes	-90	-90	37°57'27.9"N	91°46'57.6"W	361.0
08:86:3b:21:b7:df	Martens		2014-05-01 18:41:40	6	Yes	-82	-82	37°57'15.1"N	91°46'44.3"W	336.0
b4:b5:2f:0f:30:22	HP-Print-22-Officejet Pro 8600		2014-05-01 18:41:28	1	OPN	-95	-95	37°57'15.1"N	91°46'41.7"W	339.0
6c:50:4d:3f:a4:6b	STJ_FCFP1		2014-05-01 18:42:52	1	Yes	-91	-91	37°57'26.0"N	91°46'58.0"W	349.0
d8:c7:c8:f1:91:f4	&lt;Hidden Network&gt;		2014-05-01 18:43:20	11	Yes	-73	-73	37°57'31.5"N	91°46'52.2"W	353.0
6c:f3:7f:1e:25:51	MST-WPA-N		2014-05-01 18:33:58	1	Yes	-91	-91	37°57'25.0"N	91°46'58.8"W	356.0
d8:c7:c8:f1:8e:f5	&lt;Hidden Network&gt;		2014-05-01 18:43:25	11	Yes	-84	-84	37°57'31.5"N	91°46'49.9"W	352.0
6c:f3:7f:1e:29:23	MST-WPA-N		2014-05-01 18:38:03	1	Yes	-95	-95	37°57'15.1"N	91°46'39.3"W	345.0
d8:c7:c8:f1:91:71	MST-PUBLIC-N		2014-05-01 18:43:23	6	OPN	-84	-84	37°57'31.5"N	91°46'50.8"W	352.0
26:aa:4b:66:55:e3	HQ-guest		2014-05-01 18:42:19	3	OPN	-87	-87	37°57'18.4"N	91°46'48.7"W	342.0
ac:86:74:14:7c:0a	OAKNET_WIFI		2014-05-01 18:33:18	8	OPN	-76	-76	37°57'31.4"N	91°46'56.6"W	383.0
6c:f3:7f:1e:29:25	&lt;Hidden Network&gt;		2014-05-01 18:37:41	1	Yes	-97	-97	37°57'15.1"N	91°46'39.3"W	345.0
6c:f3:7f:1e:2a:45	&lt;Hidden Network&gt;		2014-05-01 18:34:31	6	Yes	-91	-91	37°57'18.2"N	91°46'44.7"W	342.0
0e:39:94:97:4f:bf	MCN-204A		2014-05-01 18:34:49	1	OPN	-98	-98	37°57'18.5"N	91°46'37.8"W	349.0
74:44:01:37:26:2a	LUDWIG		2014-05-01 18:41:54	11	Yes	-81	-81	37°57'14.9"N	91°46'48.4"W	344.0
d8:c7:c8:f1:8e:f2	MST-WPA-N		2014-05-01 18:43:25	11	Yes	-80	-80	37°57'31.5"N	91°46'49.9"W	352.0
d8:c7:c8:f1:91:f0	MST-PSK-N		2014-05-01 18:43:20	11	Yes	-66	-66	37°57'31.5"N	91°46'52.2"W	353.0
ec:1a:59:c4:96:18	belkin.618		2014-05-01 18:43:44	1	Yes	-82	-82	37°57'33.3"N	91°46'44.4"W	355.0
6c:f3:7f:1e:38:a1	MST-PSK-N		2014-05-01 18:43:02	1	Yes	-88	-88	37°57'29.6"N	91°46'57.1"W	350.0
6c:f3:7f:1e:25:b0	MST-PSK-N		2014-05-01 18:34:02	11	Yes	-92	-92	37°57'24.1"N	91°46'59.1"W	355.0
98:fc:11:75:e5:e7	Amish Society of West Rolla		2014-05-01 18:41:57	6	Yes	-84	-84	37°57'14.9"N	91°46'48.7"W	343.0
aa:ae:ce:89:cf:ee	print server CC1B36		2014-05-01 18:34:54	11	OPN	-97	-97	37°57'16.4"N	91°46'37.9"W	346.0
d8:c7:c8:f1:8e:81	MST-PUBLIC-N		2014-05-01 18:33:27	1	OPN	-69	-69	37°57'31.2"N	91°46'56.7"W	371.0
00:24:36:a4:81:83	Jayhawk Network		2014-05-01 18:34:17	1	Yes	-95	-95	37°57'20.7"N	91°46'53.0"W	356.0
6c:50:4d:3f:a4:60	Patient_Wireless		2014-05-01 18:42:52	1	OPN	-92	-92	37°57'26.0"N	91°46'58.0"W	349.0
00:25:9c:73:e5:63	Hartman		2014-05-01 18:34:09	11	Yes	-91	-91	37°57'23.0"N	91°46'56.7"W	357.0
e0:91:f5:86:28:78	HardeesWiFi		2014-05-01 18:41:25	1	OPN	-83	-83	37°57'15.1"N	91°46'40.6"W	342.0
d8:c7:c8:f1:91:f2	MST-WPA-N		2014-05-01 18:43:20	11	Yes	-69	-69	37°57'31.5"N	91°46'52.2"W	353.0
d8:c7:c8:98:6f:a1	MST-PSK-N		2014-05-01 18:43:55	11	Yes	-69	-69	37°57'35.1"N	91°46'44.5"W	359.0
6c:f3:7f:1e:28:b1	&lt;Hidden Network&gt;		2014-05-01 18:37:19	11	Yes	-92	-92	37°57'15.1"N	91°46'39.2"W	345.0
d8:c7:c8:f1:8e:83	MST-COER-N		2014-05-01 18:33:27	1	Yes	-69	-69	37°57'31.2"N	91°46'56.7"W	371.0
d8:c7:c8:f1:91:f5	&lt;Hidden Network&gt;		2014-05-01 18:43:20	11	Yes	-73	-73	37°57'31.5"N	91°46'52.2"W	353.0
2a:28:5d:37:6e:d8	CenturyLink3042		2014-05-01 18:41:25	11	Yes	-79	-79	37°57'15.1"N	91°46'40.6"W	342.0
6c:f3:7f:1e:28:b0	MST-PSK-N		2014-05-01 18:41:25	11	Yes	-88	-88	37°57'15.1"N	91°46'40.6"W	342.0
00:24:6c:30:ce:04	MST-WPA-N		2014-05-01 18:43:30	1	Yes	-78	-78	37°57'31.5"N	91°46'47.6"W	354.0
98:fc:11:78:71:54	AMD-2.4		2014-05-01 18:34:55	11	Yes	-98	-98	37°57'16.1"N	91°46'37.9"W	347.0
6c:f3:7f:1e:29:21	&lt;Hidden Network&gt;		2014-05-01 18:41:15	1	Yes	-95	-95	37°57'15.1"N	91°46'37.9"W	345.0
6c:f3:7f:1e:2a:41	&lt;Hidden Network&gt;		2014-05-01 18:34:31	6	Yes	-92	-92	37°57'18.2"N	91°46'44.7"W	342.0
02:ca:fe:ca:ca:40	&lt;Hidden Network&gt;		2014-05-01 18:33:19	8	OPN	-75	-75	37°57'31.2"N	91°46'56.7"W	383.0
6c:50:4d:3f:a4:6a	pcrmc-sec0		2014-05-01 18:42:52	1	Yes	-91	-91	37°57'26.0"N	91°46'58.0"W	349.0
20:c9:d0:20:91:d3	hitler did nothing wrong		2014-05-01 18:41:58	1	Yes	-79	-79	37°57'15.4"N	91°46'48.7"W	343.0
d8:c7:c8:98:65:90	MST-WPA-N		2014-05-01 18:43:27	11	Yes	-79	-79	37°57'31.5"N	91°46'49.0"W	355.0
6c:f3:7f:1e:28:b3	MST-WPA-N		2014-05-01 18:40:58	11	Yes	-93	-93	37°57'15.1"N	91°46'39.2"W	345.0
d8:c7:c8:f1:8e:85	&lt;Hidden Network&gt;		2014-05-01 18:33:27	1	Yes	-68	-68	37°57'31.2"N	91°46'56.7"W	371.0
00:24:6c:30:e7:f0	MST-WPA-N		2014-05-01 18:43:22	1	Yes	-75	-75	37°57'31.5"N	91°46'51.3"W	352.0
d8:c7:c8:f1:91:75	&lt;Hidden Network&gt;		2014-05-01 18:43:23	6	Yes	-87	-87	37°57'31.5"N	91°46'50.8"W	352.0
